"S.No","Vehicle Number","Vehicle Type","Route ID","Route Name","Ward Name","Route Length(KM)","Route Covered(KM)","Total Distance(KM)","Route Coverage(%)","Route In Time","Route Out Time","Route Time"
105,"M207 UP85AG0965","Primary - Auto Tipper",611,"W22R1","47","4.46","1.49","452.25","33.29%","07:43 AM","01:21 PM","5:38"
106,"M057 UP85AG0774","Primary - Auto Tipper",511,"W15R2","15","16.71","5.39","53.08","32.26%","08:34 AM","11:47 AM","3:13"
107,"M263 UP85ET 7862","Primary - Auto Tipper",635,"W21R4","21","19.51","6.22","31.62","31.91%","06:58 AM","12:33 PM","5:34"
108,"M252 UP85ET 7850_C","Primary - Auto Tipper",706,"W61R1_C","61","1.70","0.51","14.93","29.78%","07:19 AM","01:13 PM","5:54"
109,"M222 UP85AG0952","Primary - Auto Tipper",588,"W67R3","21","11.02","3.24","24.66","29.38%","08:00 AM","12:36 PM","4:36"
110,"M040 UP14PT7938","Primary - Auto Tipper",522,"W24R1","24","8.70","2.56","31.84","29.38%","08:22 AM","12:04 PM","3:41"
111,"MR022-70148549","Primary - Wheel Barrow",723,"W61WR3","61","2.69","0.77","4.58","28.43%","07:56 AM","11:03 AM","3:06"
112,"M201 UP85AG0755","Primary - Auto Tipper",575,"W57R3","28","9.23","2.62","32.28","28.37%","09:00 AM","12:13 PM","3:13"
113,"M255 UP85ET 7849","Primary - Auto Tipper",513,"W16R3","16","6.89","1.94","30.65","28.23%","08:43 AM","11:57 AM","3:14"
114,"UP85FT2584","Primary - Auto Tipper",591,"W69R2","62","6.22","1.75","30.50","28.08%","07:37 AM","01:07 PM","5:30"
115,"M081  UP85AG0893_C","Primary - Auto Tipper",629,"W26R2","33","3.03","0.84","13.61","27.77%","08:11 AM","11:09 AM","2:58"
116,"M226 UP85AG0969","Primary - Auto Tipper",538,"W33R1","6","25.02","6.93","31.85","27.71%","07:11 AM","01:29 PM","6:18"
117,"M233 UP85ET 7835","Primary - Auto Tipper",540,"W33R3","59","6.86","1.86","35.93","27.07%","08:22 AM","10:36 AM","2:14"
118,"MR045-70145206","Primary - Manual Rickshaw",681,"W35MR1","35","0.94","0.25","7.13","26.51%","07:43 AM","02:07 PM","6:24"
119,"M111  UP85AG0882","Primary - Auto Tipper",697,"W58R2","58","2.76","0.71","15.94","25.86%","08:24 AM","11:07 AM","2:43"
120,"M060 UP85AG0881","Primary - Auto Tipper",551,"W41R2","41","10.50","2.71","49.20","25.84%","08:28 AM","11:42 AM","3:13"
